品牌,机型,日期,占有率
iPhone,SE,2017-09-01,1.57
iPhone,4s,2017-09-01,1.41
iPad,mini,2017-09-01,1.18
iPhone,5C,2017-09-01,0.9
iPad,4,2017-09-01,0.88
iPad,2,2017-09-01,0.74
iPad,mini,2017-09-01,0.73
iPhone,4,2017-09-01,0.5
iPad,3,2017-09-01,0.43
iPad,mini,2017-09-01,0.28
iPad,pro,2017-09-01,0.21
iPhone,8,2017-09-01,0.2
iPad,Air,2017-09-01,0.14
iPhone,8,2017-09-01,0.1
iPad,pro,2017-09-01,0.07
iPad,mini,2017-09-01,0.06
iPod,touch,2017-09-01,0.05
iPod,touch,2017-09-01,0.03
iPad,pro,2017-09-01,0.03
iPod,touch,2017-09-01,0.02
iPhone,6S,2017-09-01,0.02
iPad,1,2017-09-01,0.02
iPhone,6s,2017-09-01,0.02
iPhone,7,2017-09-01,0.02
iPad,pro,2017-09-01,0.02
iPad,5,2017-09-01,0.01
iPad,Pro,2017-09-01,0.01
iPad,pro,2017-09-01,0.01
iPhone,6,2017-09-01,0.01
iPhone,3GS,2017-09-01,0.0
iPod,touch,2017-09-01,0.0
iPhone,X,2017-09-01,0.0
iPod,touch,2017-09-01,0.0
iPhone,3G,2017-09-01,0.0
iPhone,6,2017-10-01,17.42
iPhone,6s,2017-10-01,13.53
iPhone,6,2017-10-01,11.89
iPhone,7,2017-10-01,11.21
iPhone,6s,2017-10-01,10.78
iPhone,7,2017-10-01,8.69
iPhone,5S,2017-10-01,7.38
iPhone,5,2017-10-01,2.34
iPad,Air,2017-10-01,1.87
iPad,mini,2017-10-01,1.83
iPad,air,2017-10-01,1.72
iPhone,SE,2017-10-01,1.57
iPhone,4s,2017-10-01,1.33
iPad,mini,2017-10-01,1.17
iPhone,5C,2017-10-01,0.98
iPad,4,2017-10-01,0.88
iPhone,8,2017-10-01,0.81
iPad,mini,2017-10-01,0.75
iPad,2,2017-10-01,0.72
iPhone,4,2017-10-01,0.44
iPad,3,2017-10-01,0.42
iPhone,8,2017-10-01,0.41
iPad,mini,2017-10-01,0.28
iPad,pro,2017-10-01,0.22
iPad,Air,2017-10-01,0.14
iPad,pro,2017-10-01,0.07
iPad,mini,2017-10-01,0.06
iPhone,6S,2017-10-01,0.06
iPod,touch,2017-10-01,0.05
iPhone,7,2017-10-01,0.05
iPhone,6s,2017-10-01,0.04
iPhone,6,2017-10-01,0.03
iPod,touch,2017-10-01,0.03
iPad,pro,2017-10-01,0.03
iPad,1,2017-10-01,0.02
iPad,5,2017-10-01,0.02
iPad,pro,2017-10-01,0.02
iPod,touch,2017-10-01,0.02
iPad,pro,2017-10-01,0.01
iPad,Pro,2017-10-01,0.01
iPhone,3GS,2017-10-01,0.0
iPod,touch,2017-10-01,0.0
iPhone,X,2017-10-01,0.0
iPod,touch,2017-10-01,0.0
iPhone,3G,2017-10-01,0.0
iPhone,6,2017-11-01,16.93
iPhone,6s,2017-11-01,12.89
iPhone,7,2017-11-01,11.64
iPhone,6,2017-11-01,11.62
iPhone,6s,2017-11-01,10.86
iPhone,7,2017-11-01,8.98
iPhone,5S,2017-11-01,6.89
iPhone,5,2017-11-01,2.15
iPad,Air,2017-11-01,1.73
iPad,mini,2017-11-01,1.66
iPhone,SE,2017-11-01,1.59
iPad,air,2017-11-01,1.58
iPhone,8,2017-11-01,1.52
iPhone,4s,2017-11-01,1.18
iPad,mini,2017-11-01,1.09
iPhone,X,2017-11-01,1.01
iPhone,5C,2017-11-01,0.95
iPad,4,2017-11-01,0.82
iPhone,8,2017-11-01,0.82
iPad,mini,2017-11-01,0.74
iPad,2,2017-11-01,0.66
iPhone,4,2017-11-01,0.39
iPad,3,2017-11-01,0.39
iPad,mini,2017-11-01,0.26
iPad,pro,2017-11-01,0.21
iPad,Air,2017-11-01,0.13
iPad,pro,2017-11-01,0.07
iPhone,6S,2017-11-01,0.07
iPad,mini,2017-11-01,0.06
iPhone,7,2017-11-01,0.06
iPhone,6s,2017-11-01,0.05
iPod,touch,2017-11-01,0.05
iPhone,6,2017-11-01,0.04
iPod,touch,2017-11-01,0.03
iPad,pro,2017-11-01,0.03
iPad,5,2017-11-01,0.02
iPod,touch,2017-11-01,0.02
iPad,1,2017-11-01,0.02
iPad,pro,2017-11-01,0.02
iPad,pro,2017-11-01,0.01
iPad,Pro,2017-11-01,0.01
iPhone,3GS,2017-11-01,0.0
iPod,touch,2017-11-01,0.0
iPod,touch,2017-11-01,0.0
iPhone,3G,2017-11-01,0.0
iPhone,6,2017-12-01,16.09
iPhone,6s,2017-12-01,12.6
iPhone,7,2017-12-01,11.61
iPhone,6,2017-12-01,11.11
iPhone,6s,2017-12-01,10.72
iPhone,7,2017-12-01,9.0
iPhone,5S,2017-12-01,6.56
iPhone,X,2017-12-01,2.43
iPhone,8,2017-12-01,2.08
iPhone,5,2017-12-01,2.01
iPad,Air,2017-12-01,1.76
iPad,mini,2017-12-01,1.67
iPad,air,2017-12-01,1.6
iPhone,SE,2017-12-01,1.47
iPhone,8,2017-12-01,1.12
iPad,mini,2017-12-01,1.11
iPhone,4s,2017-12-01,1.09
iPhone,5C,2017-12-01,0.87
iPad,4,2017-12-01,0.83
iPad,mini,2017-12-01,0.77
iPad,2,2017-12-01,0.66
iPad,3,2017-12-01,0.4
iPhone,4,2017-12-01,0.36
iPad,mini,2017-12-01,0.26
iPad,pro,2017-12-01,0.21
iPad,Air,2017-12-01,0.13
iPhone,6S,2017-12-01,0.08
iPad,pro,2017-12-01,0.07
iPhone,7,2017-12-01,0.07
iPhone,6s,2017-12-01,0.06
iPad,mini,2017-12-01,0.06
iPhone,6,2017-12-01,0.05
iPod,touch,2017-12-01,0.05
iPad,pro,2017-12-01,0.03
iPod,touch,2017-12-01,0.03
iPad,5,2017-12-01,0.02
iPad,1,2017-12-01,0.02
iPad,pro,2017-12-01,0.02
iPad,pro,2017-12-01,0.02
iPod,touch,2017-12-01,0.01
iPad,Pro,2017-12-01,0.01
iPhone,3GS,2017-12-01,0.0
iPod,touch,2017-12-01,0.0
iPod,touch,2017-12-01,0.0
iPhone,3G,2017-12-01,0.0
iPhone,6,2018-01-01,15.59
iPhone,6s,2018-01-01,12.36
iPhone,7,2018-01-01,11.53
iPhone,6s,2018-01-01,10.56
iPhone,6,2018-01-01,10.53
iPhone,7,2018-01-01,9.02
iPhone,5S,2018-01-01,5.84
iPhone,X,2018-01-01,3.59
iPhone,8,2018-01-01,2.55
iPhone,5,2018-01-01,1.92
iPad,Air,2018-01-01,1.83
iPad,mini,2018-01-01,1.72
iPad,air,2018-01-01,1.65
iPhone,8,2018-01-01,1.4
iPhone,SE,2018-01-01,1.33
iPad,mini,2018-01-01,1.18
iPhone,4s,2018-01-01,1.06
iPhone,5C,2018-01-01,0.88
iPad,4,2018-01-01,0.87
iPad,mini,2018-01-01,0.83
iPad,2,2018-01-01,0.7
iPad,3,2018-01-01,0.42
iPhone,4,2018-01-01,0.35
iPad,mini,2018-01-01,0.27
iPad,pro,2018-01-01,0.22
iPad,Air,2018-01-01,0.14
iPhone,6S,2018-01-01,0.09
iPad,pro,2018-01-01,0.08
iPhone,7,2018-01-01,0.07
iPhone,6s,2018-01-01,0.07
iPad,mini,2018-01-01,0.06
iPhone,6,2018-01-01,0.06
iPod,touch,2018-01-01,0.05
iPod,touch,2018-01-01,0.03
iPad,5,2018-01-01,0.03
iPad,pro,2018-01-01,0.03
iPad,pro,2018-01-01,0.02
iPad,1,2018-01-01,0.02
iPad,pro,2018-01-01,0.02
iPod,touch,2018-01-01,0.02
iPad,Pro,2018-01-01,0.01
iPhone,3GS,2018-01-01,0.0
iPod,touch,2018-01-01,0.0
iPod,touch,2018-01-01,0.0
iPhone,3G,2018-01-01,0.0
iPhone,6,2018-02-01,14.9
iPhone,6s,2018-02-01,12.05
iPhone,7,2018-02-01,11.69
iPhone,6s,2018-02-01,10.54
iPhone,6,2018-02-01,10.03
iPhone,7,2018-02-01,9.02
iPhone,5S,2018-02-01,5.23
iPhone,X,2018-02-01,4.71
iPhone,8,2018-02-01,2.99
iPad,Air,2018-02-01,2.0
iPad,mini,2018-02-01,1.85
iPad,air,2018-02-01,1.77
iPhone,5,2018-02-01,1.71
iPhone,8,2018-02-01,1.59
iPhone,SE,2018-02-01,1.27
iPad,mini,2018-02-01,1.23
iPhone,4s,2018-02-01,0.98
iPad,mini,2018-02-01,0.93
iPad,4,2018-02-01,0.91
iPad,2,2018-02-01,0.7
iPhone,5C,2018-02-01,0.6
iPad,3,2018-02-01,0.42
iPhone,4,2018-02-01,0.33
iPad,mini,2018-02-01,0.28
iPad,pro,2018-02-01,0.23
iPad,Air,2018-02-01,0.14
iPad,pro,2018-02-01,0.08
iPhone,6S,2018-02-01,0.07
iPad,mini,2018-02-01,0.06
iPhone,7,2018-02-01,0.05
iPhone,6s,2018-02-01,0.05
iPod,touch,2018-02-01,0.04
iPhone,6,2018-02-01,0.04
iPad,5,2018-02-01,0.03
iPad,pro,2018-02-01,0.03
iPod,touch,2018-02-01,0.02
iPad,pro,2018-02-01,0.02
iPad,1,2018-02-01,0.02
iPad,pro,2018-02-01,0.02
iPod,touch,2018-02-01,0.02
iPad,Pro,2018-02-01,0.01
iPhone,3GS,2018-02-01,0.0
iPod,touch,2018-02-01,0.0
iPod,touch,2018-02-01,0.0
iPhone,3G,2018-02-01,0.0
iPhone,6,2018-03-01,14.59
iPhone,6s,2018-03-01,12.0
iPhone,7,2018-03-01,11.93
iPhone,6s,2018-03-01,10.59
iPhone,6,2018-03-01,9.79
iPhone,7,2018-03-01,9.27
iPhone,X,2018-03-01,5.58
iPhone,5S,2018-03-01,5.03
iPhone,8,2018-03-01,3.48
iPhone,8,2018-03-01,1.88
iPad,Air,2018-03-01,1.76
iPhone,5,2018-03-01,1.65
iPad,mini,2018-03-01,1.61
iPad,air,2018-03-01,1.55
iPhone,SE,2018-03-01,1.32
iPad,mini,2018-03-01,1.12
iPhone,4s,2018-03-01,0.89
iPad,mini,2018-03-01,0.86
iPad,4,2018-03-01,0.82
iPad,2,2018-03-01,0.63
iPhone,5C,2018-03-01,0.63
iPad,3,2018-03-01,0.39
iPhone,4,2018-03-01,0.28
iPad,mini,2018-03-01,0.25
iPad,pro,2018-03-01,0.22
iPad,Air,2018-03-01,0.14
iPad,pro,2018-03-01,0.08
iPad,mini,2018-03-01,0.06
iPod,touch,2018-03-01,0.04
iPhone,6S,2018-03-01,0.04
iPad,5,2018-03-01,0.03
iPhone,6s,2018-03-01,0.03
iPad,pro,2018-03-01,0.03
iPhone,7,2018-03-01,0.03
iPhone,6,2018-03-01,0.02
iPad,1,2018-03-01,0.02
iPod,touch,2018-03-01,0.02
iPad,Pro,2018-03-01,0.02
iPad,pro,2018-03-01,0.02
iPod,touch,2018-03-01,0.02
iPad,pro,2018-03-01,0.02
iPhone,3GS,2018-03-01,0.0
iPod,touch,2018-03-01,0.0
iPod,touch,2018-03-01,0.0
iPhone,3G,2018-03-01,0.0
iPhone,6,2018-04-01,14.31
iPhone,7,2018-04-01,12.03
iPhone,6s,2018-04-01,11.84
iPhone,6s,2018-04-01,10.56
iPhone,6,2018-04-01,9.39
iPhone,7,2018-04-01,9.33
iPhone,X,2018-04-01,6.3
iPhone,5S,2018-04-01,4.78
iPhone,8,2018-04-01,3.9
iPhone,8,2018-04-01,2.1
iPad,Air,2018-04-01,1.71
iPad,mini,2018-04-01,1.55
iPad,air,2018-04-01,1.5
iPhone,5,2018-04-01,1.5
iPhone,SE,2018-04-01,1.49
iPad,mini,2018-04-01,1.07
iPad,mini,2018-04-01,0.86
iPhone,4s,2018-04-01,0.8
iPad,4,2018-04-01,0.78
iPhone,5C,2018-04-01,0.6
iPad,2,2018-04-01,0.59
iPad,3,2018-04-01,0.37
iPad,mini,2018-04-01,0.24
iPhone,4,2018-04-01,0.24
iPad,pro,2018-04-01,0.21
iPad,Air,2018-04-01,0.13
iPad,Pro,2018-04-01,0.11
iPad,pro,2018-04-01,0.08
iPad,mini,2018-04-01,0.06
iPod,touch,2018-04-01,0.04
iPad,5,2018-04-01,0.04
iPad,pro,2018-04-01,0.03
iPad,pro,2018-04-01,0.03
iPhone,6s,2018-04-01,0.02
iPhone,7,2018-04-01,0.02
iPad,pro,2018-04-01,0.02
iPhone,6S,2018-04-01,0.02
iPod,touch,2018-04-01,0.02
iPod,touch,2018-04-01,0.01
iPad,1,2018-04-01,0.01
iPhone,6,2018-04-01,0.01
iPhone,3GS,2018-04-01,0.0
iPod,touch,2018-04-01,0.0
iPod,touch,2018-04-01,0.0
iPhone,3G,2018-04-01,0.0
iPhone,XS,2018-04-01,0.0
iPhone,6,2018-05-01,13.86
iPhone,7,2018-05-01,12.32
iPhone,6s,2018-05-01,11.81
iPhone,6s,2018-05-01,10.62
iPhone,7,2018-05-01,9.49
iPhone,6,2018-05-01,9.04
iPhone,X,2018-05-01,7.04
iPhone,5S,2018-05-01,4.49
iPhone,8,2018-05-01,4.39
iPhone,8,2018-05-01,2.37
iPad,Air,2018-05-01,1.65
iPhone,SE,2018-05-01,1.62
iPad,mini,2018-05-01,1.49
iPad,air,2018-05-01,1.44
iPhone,5,2018-05-01,1.16
iPad,mini,2018-05-01,1.06
iPad,mini,2018-05-01,0.86
iPad,4,2018-05-01,0.76
iPhone,4s,2018-05-01,0.61
iPad,2,2018-05-01,0.57
iPhone,5C,2018-05-01,0.36
iPad,3,2018-05-01,0.35
iPad,mini,2018-05-01,0.23
iPhone,4,2018-05-01,0.22
iPad,pro,2018-05-01,0.21
iPad,Pro,2018-05-01,0.19
iPad,Air,2018-05-01,0.14
iPad,pro,2018-05-01,0.07
iPad,mini,2018-05-01,0.06
iPad,5,2018-05-01,0.04
iPod,touch,2018-05-01,0.04
iPad,pro,2018-05-01,0.03
iPad,pro,2018-05-01,0.03
iPod,touch,2018-05-01,0.02
iPad,pro,2018-05-01,0.02
iPod,touch,2018-05-01,0.01
iPhone,6,2018-05-01,0.01
iPhone,7,2018-05-01,0.01
iPad,1,2018-05-01,0.01
iPhone,6s,2018-05-01,0.01
iPhone,6S,2018-05-01,0.01
iPhone,3GS,2018-05-01,0.0
iPod,touch,2018-05-01,0.0
iPod,touch,2018-05-01,0.0
iPhone,3G,2018-05-01,0.0
iPhone,XS,2018-05-01,0.0
iPhone,6,2018-06-01,13.5
iPhone,7,2018-06-01,12.33
iPhone,6s,2018-06-01,11.69
iPhone,6s,2018-06-01,10.52
iPhone,7,2018-06-01,9.6
iPhone,6,2018-06-01,8.73
iPhone,X,2018-06-01,7.63
iPhone,8,2018-06-01,4.81
iPhone,5S,2018-06-01,4.15
iPhone,8,2018-06-01,2.69
iPad,Air,2018-06-01,1.63
iPhone,SE,2018-06-01,1.52
iPad,mini,2018-06-01,1.45
iPad,air,2018-06-01,1.41
iPhone,5,2018-06-01,1.22
iPad,mini,2018-06-01,1.03
iPad,mini,2018-06-01,0.87
iPad,4,2018-06-01,0.74
iPad,2,2018-06-01,0.54
iPhone,4s,2018-06-01,0.54
iPhone,5C,2018-06-01,0.34
iPad,3,2018-06-01,0.34
iPad,Pro,2018-06-01,0.28
iPad,mini,2018-06-01,0.22
iPad,pro,2018-06-01,0.2
iPhone,4,2018-06-01,0.19
iPad,Air,2018-06-01,0.13
iPad,pro,2018-06-01,0.07
iPad,mini,2018-06-01,0.06
iPad,5,2018-06-01,0.04
iPod,touch,2018-06-01,0.04
iPad,pro,2018-06-01,0.03
iPad,pro,2018-06-01,0.03
iPad,pro,2018-06-01,0.02
iPod,touch,2018-06-01,0.02
iPhone,6s,2018-06-01,0.01
iPod,touch,2018-06-01,0.01
iPhone,6S,2018-06-01,0.01
iPhone,7,2018-06-01,0.01
iPad,1,2018-06-01,0.01
iPhone,6,2018-06-01,0.01
iPhone,3GS,2018-06-01,0.0
iPod,touch,2018-06-01,0.0
iPod,touch,2018-06-01,0.0
iPhone,3G,2018-06-01,0.0
iPhone,XS,2018-06-01,0.0
iPhone,6,2018-07-01,12.85
iPhone,7,2018-07-01,12.21
iPhone,6s,2018-07-01,11.38
iPhone,6s,2018-07-01,10.37
iPhone,7,2018-07-01,9.52
iPhone,6,2018-07-01,8.38
iPhone,X,2018-07-01,8.02
iPhone,8,2018-07-01,5.1
iPhone,5S,2018-07-01,3.71
iPhone,8,2018-07-01,2.85
iPad,Air,2018-07-01,1.8
iPad,mini,2018-07-01,1.61
iPad,air,2018-07-01,1.56
iPhone,SE,2018-07-01,1.45
iPhone,5,2018-07-01,1.4
iPad,mini,2018-07-01,1.13
iPad,mini,2018-07-01,0.97
iPad,4,2018-07-01,0.81
iPad,2,2018-07-01,0.58
iPhone,4s,2018-07-01,0.54
iPad,Pro,2018-07-01,0.4
iPad,3,2018-07-01,0.36
iPhone,5C,2018-07-01,0.31
iPad,mini,2018-07-01,0.24
iPad,pro,2018-07-01,0.22
iPhone,4,2018-07-01,0.19
iPad,Air,2018-07-01,0.14
iPad,pro,2018-07-01,0.08
iPad,mini,2018-07-01,0.07
iPad,5,2018-07-01,0.05
iPod,touch,2018-07-01,0.04
iPad,pro,2018-07-01,0.03
iPad,pro,2018-07-01,0.03
iPod,touch,2018-07-01,0.03
iPad,pro,2018-07-01,0.02
iPad,1,2018-07-01,0.01
iPhone,6,2018-07-01,0.01
iPhone,7,2018-07-01,0.01
iPhone,6S,2018-07-01,0.01
iPhone,6s,2018-07-01,0.01
iPod,touch,2018-07-01,0.01
iPhone,3GS,2018-07-01,0.0
iPod,touch,2018-07-01,0.0
iPod,touch,2018-07-01,0.0
iPhone,3G,2018-07-01,0.0
iPhone,XS,2018-07-01,0.0
iPhone,XS,2018-07-01,0.0
iPhone,6,2018-08-01,12.44
iPhone,7,2018-08-01,12.32
iPhone,6s,2018-08-01,11.18
iPhone,6s,2018-08-01,10.34
iPhone,7,2018-08-01,9.59
iPhone,X,2018-08-01,8.63
iPhone,6,2018-08-01,7.98
iPhone,8,2018-08-01,5.53
iPhone,5S,2018-08-01,3.43
iPhone,8,2018-08-01,3.11
iPad,Air,2018-08-01,1.84
iPad,mini,2018-08-01,1.64
iPad,air,2018-08-01,1.59
iPhone,SE,2018-08-01,1.48
iPad,mini,2018-08-01,1.14
iPad,mini,2018-08-01,1.02
iPhone,5,2018-08-01,1.0
iPad,4,2018-08-01,0.82
iPad,2,2018-08-01,0.58
iPad,Pro,2018-08-01,0.53
iPhone,4s,2018-08-01,0.46
iPad,3,2018-08-01,0.36
iPad,mini,2018-08-01,0.25
iPhone,5C,2018-08-01,0.25
iPad,pro,2018-08-01,0.22
iPhone,4,2018-08-01,0.16
iPad,Air,2018-08-01,0.15
iPad,pro,2018-08-01,0.08
iPad,mini,2018-08-01,0.07
iPad,5,2018-08-01,0.05
iPod,touch,2018-08-01,0.04
iPad,pro,2018-08-01,0.04
iPad,pro,2018-08-01,0.03
iPad,pro,2018-08-01,0.02
iPod,touch,2018-08-01,0.02
iPad,1,2018-08-01,0.01
iPhone,6S,2018-08-01,0.01
iPod,touch,2018-08-01,0.01
iPhone,6s,2018-08-01,0.01
iPhone,6,2018-08-01,0.0
iPhone,7,2018-08-01,0.0
iPhone,3GS,2018-08-01,0.0
iPod,touch,2018-08-01,0.0
iPhone,XS,2018-08-01,0.0
iPhone,3G,2018-08-01,0.0
iPhone,XS,2018-08-01,0.0
iPhone,XR,2018-08-01,0.0
iPhone,7,2018-09-01,12.55
iPhone,6,2018-09-01,12.05
iPhone,6s,2018-09-01,11.14
iPhone,6s,2018-09-01,10.4
iPhone,7,2018-09-01,9.75
iPhone,X,2018-09-01,9.26
iPhone,6,2018-09-01,7.73
iPhone,8,2018-09-01,5.94
iPhone,8,2018-09-01,3.34
iPhone,5S,2018-09-01,3.14
iPad,Air,2018-09-01,1.7
iPhone,SE,2018-09-01,1.56
iPad,mini,2018-09-01,1.44
iPad,air,2018-09-01,1.41
iPad,mini,2018-09-01,1.02
iPad,mini,2018-09-01,0.98
iPhone,5,2018-09-01,0.77
iPad,4,2018-09-01,0.73
iPad,Pro,2018-09-01,0.64
iPad,2,2018-09-01,0.5
iPhone,4s,2018-09-01,0.38
iPhone,XS,2018-09-01,0.34
iPad,3,2018-09-01,0.32
iPad,pro,2018-09-01,0.22
iPhone,5C,2018-09-01,0.22
iPad,mini,2018-09-01,0.22
iPad,Air,2018-09-01,0.15
iPhone,4,2018-09-01,0.13
iPhone,XS,2018-09-01,0.09
iPad,pro,2018-09-01,0.08
iPad,mini,2018-09-01,0.07
iPad,5,2018-09-01,0.05
iPad,pro,2018-09-01,0.04
iPad,pro,2018-09-01,0.04
iPod,touch,2018-09-01,0.03
iPad,pro,2018-09-01,0.02
iPod,touch,2018-09-01,0.01
iPhone,6S,2018-09-01,0.01
iPhone,6s,2018-09-01,0.01
iPod,touch,2018-09-01,0.01
iPad,1,2018-09-01,0.01
iPhone,6,2018-09-01,0.0
iPhone,7,2018-09-01,0.0
iPhone,3GS,2018-09-01,0.0
iPod,touch,2018-09-01,0.0
iPod,touch,2018-09-01,0.0
iPhone,3G,2018-09-01,0.0
iPhone,XR,2018-09-01,0.0
